PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
PRECTOTCORR,2005,6.79,4.2,1.63,6.8,5.66,8.27,6.63,6.94,10.28,11.36,7.46,2.0,6.5,7.95,5.24,6.41,8.47,3.41,5.51,4.39,5.89,5.79,7.87,7.4,4.55
PRECTOTCORR,2006,6.81,2.45,4.8,2.2,7.55,5.77,9.33,4.84,5.23,3.77,5.3,5.48,5.32,8.32,3.8,7.02,5.45,6.2,8.75,6.04,6.62,4.77,7.22,5.4,8.47
PRECTOTCORR,2007,3.33,0.15,1.91,4.22,8.73,5.55,6.32,5.91,5.81,8.76,13.28,10.68,6.26,4.63,5.34,5.63,8.28,6.29,6.76,4.27,7.55,8.93,4.31,6.25,3.82
PRECTOTCORR,2008,2.48,2.04,1.14,4.99,6.59,8.77,7.49,9.86,6.95,8.74,6.77,2.54,5.7,3.25,3.94,4.71,4.39,5.71,3.64,6.01,3.49,5.6,3.75,5.28,3.82
PRECTOTCORR,2009,1.92,3.86,5.41,1.6,5.08,7.0,8.48,6.21,3.67,7.81,4.83,1.44,4.79,4.21,8.17,4.51,6.8,4.16,3.11,3.72,7.43,6.98,8.23,9.0,3.02
PRECTOTCORR,2010,4.83,2.3,2.89,3.74,7.44,6.11,6.74,5.96,14.47,5.04,12.43,7.06,6.59,6.81,4.93,4.73,3.52,6.73,8.25,4.3,4.19,6.74,5.65,3.07,4.84
PRECTOTCORR,2011,4.84,4.36,0.39,1.53,3.14,7.75,7.13,6.76,5.7,13.79,7.01,5.78,5.69,8.37,3.18,7.17,8.49,6.34,4.99,8.49,7.57,6.06,6.06,7.52,4.87
PRECTOTCORR,2012,4.25,1.38,2.46,3.57,4.26,5.23,11.76,7.59,6.5,5.76,7.22,4.1,5.36,8.69,3.74,7.62,5.94,4.22,7.05,7.15,3.88,3.58,3.35,4.28,5.21
PRECTOTCORR,2013,0.87,2.19,3.82,4.26,7.04,9.76,4.97,4.03,8.01,8.34,8.29,3.91,5.46,7.96,5.4,7.09,3.11,5.93,7.61,7.79,3.38,8.03,4.94,4.64,8.32
PRECTOTCORR,2014,2.33,1.82,1.16,6.46,5.62,8.17,13.46,9.71,10.68,9.43,7.6,10.18,7.25,3.87,3.13,8.61,6.75,4.2,7.47,3.37,6.37,8.87,4.24,4.18,4.56
PRECTOTCORR,2015,5.55,3.84,2.56,3.86,8.18,8.96,7.93,5.4,9.05,9.4,8.69,4.19,6.48,6.52,8.69,3.37,8.94,7.46,7.18,5.51,5.63,3.12,7.05,3.64,3.3
PRECTOTCORR,2016,2.2,4.16,1.02,3.07,5.46,10.77,8.31,8.44,6.56,11.06,12.83,5.71,6.63,8.36,6.68,5.36,3.01,3.31,4.07,5.67,3.15,5.4,3.55,5.22,7.71
PRECTOTCORR,2017,4.29,1.51,3.13,5.19,18.42,10.88,9.28,8.28,12.79,17.98,5.4,5.0,8.57,5.64,6.31,6.83,3.21,5.52,6.03,6.97,7.6,3.6,4.9,5.87,8.91
PRECTOTCORR,2018,11.85,3.35,3.29,4.88,10.26,11.86,16.5,9.19,8.78,13.14,5.21,2.1,8.42,7.67,3.92,5.7,4.8,8.04,5.23,6.66,7.11,5.66,3.56,8.59,6.57
PRECTOTCORR,2019,0.73,1.52,4.71,4.75,13.5,8.53,6.26,8.3,9.8,12.51,9.94,6.34,7.28,8.47,5.49,4.06,6.03,6.51,7.77,8.58,4.93,4.97,5.3,6.66,8.09
PRECTOTCORR,2020,4.42,2.55,0.82,6.57,7.76,13.64,6.98,7.83,8.88,13.55,16.18,10.77,8.33,8.89,5.99,5.08,5.87,4.88,4.45,6.4,4.8,7.46,5.05,5.81,6.43
PRECTOTCORR,2021,3.27,1.53,5.2,9.74,10.32,9.86,9.89,12.41,7.95,7.6,4.09,4.18,7.21,7.14,5.93,4.03,5.83,5.66,6.84,8.09,3.63,7.3,4.44,3.42,3.28
PRECTOTCORR,2022,1.4,1.65,7.19,8.26,8.59,15.96,7.43,6.15,10.84,9.1,11.4,3.39,7.62,4.46,8.1,4.15,8.19,7.51,3.81,5.36,4.65,7.2,3.13,3.1,7.35
PRECTOTCORR,2023,2.61,3.12,4.89,3.41,7.45,9.71,9.46,7.49,5.91,12.31,9.81,4.84,6.78,6.48,6.44,4.95,3.64,3.26,4.37,8.76,6.32,8.11,7.0,7.73,5.6
PRECTOTCORR,2024,1.09,4.05,2.08,5.72,25.32,25.62,17.4,6.5,13.11,12.39,25.99,7.89,12.25,3.7,3.03,8.42,7.37,6.73,6.22,5.1,4.43,3.33,4.2,8.91,6.01
PRECTOTCORR,2025,3.95,2.06,2.53,11.42,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.11,4.05,4.75,5.89,3.58,3.73,8.64,5.08,3.31,6.81,3.93,4.82
PRECTOTCORR_SUM,1981,81.85,93.1,53.33,180.6,206.5,355.9,103.56,299.07,270.81,199.23,275.36,132.19,2251.5,5.86,8.91,8.64,7.08,4.9,7.08,4.47,6.45,8.06,4.67,3.16,6.67
PRECTOTCORR_SUM,1982,102.28,83.67,41.74,111.39,275.81,87.58,261.23,151.3,175.2,204.61,81.24,111.37,1687.42,3.63,8.47,4.08,6.59,4.73,4.26,4.3,6.36,4.79,4.38,6.74,8.0
PRECTOTCORR_SUM,1983,42.87,2.58,28.7,112.82,93.33,138.31,163.39,175.31,152.12,231.61,90.34,102.71,1334.09,5.66,7.25,6.1,7.4,6.12,8.24,5.42,4.2,8.91,7.1,3.02,7.67
PRECTOTCORR_SUM,1984,21.27,29.15,18.65,81.59,148.16,173.52,148.82,203.06,175.02,164.33,68.09,62.18,1293.84,7.31,6.94,5.17,4.54,8.21,6.52,8.14,6.61,3.58,7.07,4.65,3.32
PRECTOTCORR_SUM,1985,60.14,11.45,15.62,25.35,68.66,240.49,167.71,133.63,130.81,112.16,71.96,62.81,1100.79,3.93,5.9,6.73,8.67,3.08,3.37,8.59,3.96,5.87,7.44,6.73,7.2
PRECTOTCORR_SUM,1986,78.53,10.85,17.65,13.8,138.17,239.1,145.25,250.33,172.03,249.44,134.93,118.77,1568.85,7.62,6.46,7.99,4.86,7.5,6.97,3.54,3.01,6.2,7.73,7.98,8.94
PRECTOTCORR_SUM,1987,49.5,32.28,21.21,135.58,126.38,140.73,119.9,150.9,97.72,201.72,78.59,49.29,1203.8,4.96,7.24,3.51,6.95,4.91,5.12,8.45,5.86,8.04,6.28,5.56,7.47
PRECTOTCORR_SUM,1988,78.15,24.42,22.84,52.08,100.46,80.51,94.87,161.49,192.46,154.16,104.74,35.28,1101.46,6.89,5.0,7.23,5.34,4.15,7.72,4.54,3.5,6.37,5.91,8.85,3.6
PRECTOTCORR_SUM,1989,14.01,16.98,10.52,11.7,63.3,161.17,93.55,122.16,152.25,146.21,72.89,66.66,931.4,8.56,5.18,8.25,3.7,3.4,6.85,6.28,3.5,3.02,3.02,3.56,7.52
PRECTOTCORR_SUM,1990,50.71,24.27,26.49,27.66,110.21,135.64,91.24,174.56,105.83,185.1,92.04,69.78,1093.53,4.16,3.68,6.61,3.04,7.6,5.04,8.75,4.81,3.82,8.71,6.11,3.72
PRECTOTCORR_SUM,1991,95.7,37.59,5.36,24.45,162.03,127.24,128.39,64.55,92.64,178.82,96.92,60.71,1074.4,4.64,7.62,7.53,5.13,8.83,8.92,6.28,8.56,8.95,5.34,3.71,4.77
PRECTOTCORR_SUM,1992,4.41,28.73,12.72,29.42,103.74,79.28,185.03,115.71,93.28,97.92,81.53,28.43,860.2,6.6,6.28,8.79,4.01,5.32,4.44,7.01,4.71,7.0,8.0,4.76,6.72
PRECTOTCORR_SUM,1993,8.73,5.77,23.48,47.39,239.5,129.77,78.35,121.77,213.49,70.92,31.77,39.61,1010.55,5.65,4.31,4.76,3.31,8.08,3.32,6.03,6.54,6.89,4.49,4.4,5.33
PRECTOTCORR_SUM,1994,0.76,8.19,5.14,32.76,32.98,74.22,110.91,85.02,86.98,127.12,104.74,31.31,700.13,4.64,8.93,3.93,3.42,7.07,7.63,5.74,3.44,3.77,8.24,6.02,3.3
PRECTOTCORR_SUM,1995,5.07,11.06,20.82,69.8,167.8,176.53,98.54,222.48,137.43,131.31,72.64,20.89,1134.37,6.14,5.63,5.41,6.35,8.21,3.83,6.06,7.26,6.4,6.38,8.86,6.77
PRECTOTCORR_SUM,1996,44.21,43.97,5.78,14.19,142.43,78.93,74.62,74.14,79.6,86.63,114.26,72.13,830.89,5.9,7.7,4.55,8.51,3.37,8.04,3.04,7.94,3.16,6.72,4.95,5.1
PRECTOTCORR_SUM,1997,62.34,37.01,14.89,57.88,201.43,239.17,131.91,184.21,229.21,272.61,128.78,64.3,1623.74,7.48,6.91,6.43,6.72,8.47,3.38,5.27,5.11,7.38,4.49,6.26,8.4
PRECTOTCORR_SUM,1998,0.82,8.69,5.03,25.14,198.25,220.78,323.67,276.1,170.44,353.56,146.86,269.6,1998.94,4.78,8.78,3.13,8.46,5.03,8.11,7.35,6.11,8.08,7.28,7.47,8.98
PRECTOTCORR_SUM,1999,66.35,122.54,42.59,170.42,235.63,266.01,178.21,329.88,272.83,229.67,149.3,266.75,2330.18,5.51,8.02,4.99,3.98,8.63,8.65,7.29,5.13,4.86,6.87,6.72,4.37
PRECTOTCORR_SUM,2000,131.59,84.88,23.73,85.66,202.91,257.4,204.44,218.08,190.71,142.9,144.57,82.47,1769.34,4.79,8.8,8.51,5.94,8.48,3.04,7.67,8.36,3.54,8.43,7.9,6.98
PRECTOTCORR_SUM,2001,69.82,60.21,39.09,86.54,155.36,209.34,140.6,163.97,155.89,221.62,195.21,69.71,1567.36,7.58,3.8,7.92,8.92,4.99,8.17,3.25,3.78,7.97,6.28,5.33,4.63
PRECTOTCORR_SUM,2002,113.82,38.55,54.82,71.95,322.83,203.68,355.01,290.7,170.72,174.37,287.63,129.58,2213.66,5.12,3.53,3.07,4.11,8.69,3.84,6.29,5.55,5.89,8.54,5.36,5.68
PRECTOTCORR_SUM,2003,73.24,57.15,43.35,87.4,282.44,125.5,142.73,115.86,89.22,185.41,171.74,162.82,1536.86,7.61,8.3,3.09,8.49,6.5,3.35,6.39,3.77,6.09,7.64,6.62,5.6
PRECTOTCORR_SUM,2004,32.57,64.64,112.24,55.47,226.44,125.25,147.31,135.88,207.49,147.6,345.18,165.92,1765.99,4.86,7.08,3.14,6.27,8.95,8.09,7.72,7.12,4.54,8.17,7.53,4.32
PRECTOTCORR_SUM,2005,210.55,117.71,50.42,203.88,175.48,248.03,205.64,215.05,308.52,352.25,223.7,62.03,2373.26,5.89,8.04,5.28,6.79,5.83,4.86,3.02,7.55,4.29,7.21,4.01,7.41
PRECTOTCORR_SUM,2006,211.08,68.68,148.75,66.03,234.18,173.15,289.21,150.11,156.79,116.93,158.9,169.94,1943.75,8.84,6.85,6.98,7.9,5.2,7.44,5.98,7.7,6.34,8.12,5.64,4.49
PRECTOTCORR_SUM,2007,103.35,4.27,59.21,126.7,270.63,166.52,195.93,183.07,174.37,271.59,398.39,331.14,2285.17,7.9,7.88,7.74,4.49,6.51,3.89,6.23,3.2,4.29,6.45,8.2,6.34
PRECTOTCORR_SUM,2008,77.02,59.13,35.42,149.71,204.16,263.12,232.18,305.76,208.43,271.01,203.0,78.72,2087.66,7.66,3.0,6.76,4.67,3.21,7.7,7.52,5.61,3.86,3.42,4.85,6.99
PRECTOTCORR_SUM,2009,59.64,108.08,167.74,47.92,157.55,210.03,262.95,192.45,110.15,241.98,144.91,44.65,1748.05,5.43,8.48,4.07,6.99,3.27,4.14,8.35,6.78,8.69,7.36,4.55,7.22
PRECTOTCORR_SUM,2010,149.69,64.47,89.62,112.11,230.63,183.16,208.94,184.9,434.19,156.18,372.89,218.87,2405.65,5.25,5.96,5.2,5.23,7.56,3.08,5.76,7.81,8.94,5.64,6.95,8.82
PRECTOTCORR_SUM,2011,149.98,122.21,12.16,45.77,97.48,232.45,221.1,209.41,170.9,427.54,210.3,179.2,2078.5,5.38,3.88,6.08,7.94,3.62,4.21,7.72,5.53,8.95,8.59,6.69,8.55
PRECTOTCORR_SUM,2012,131.89,39.99,76.3,107.09,132.1,157.04,364.44,235.33,194.91,178.68,216.49,127.09,1961.35,7.85,7.83,6.0,8.51,4.82,6.2,8.4,4.75,3.47,7.9,3.99,8.8
PRECTOTCORR_SUM,2013,27.06,61.24,118.55,127.82,218.25,292.85,153.93,125.01,240.19,258.52,248.8,121.14,1993.36,3.84,8.37,5.77,4.74,8.15,3.39,3.91,5.83,7.82,5.09,6.54,6.71
PRECTOTCORR_SUM,2014,72.26,51.07,35.95,193.9,174.32,245.07,417.3,300.88,320.25,292.31,228.08,315.63,2647.02,4.25,3.4,8.29,3.56,7.53,5.03,7.62,8.23,8.03,7.13,4.0,7.91
PRECTOTCORR_SUM,2015,171.9,107.62,79.44,115.93,253.66,268.78,245.76,167.49,271.54,291.49,260.8,129.76,2364.17,8.8,7.46,8.99,7.33,5.97,7.6,6.28,6.33,8.27,4.48,5.92,3.81
PRECTOTCORR_SUM,2016,68.08,120.74,31.67,92.15,169.26,323.1,257.59,261.78,196.69,342.88,384.79,176.91,2425.64,8.78,3.5,3.86,6.5,7.31,7.97,8.99,4.92,8.56,3.85,7.47,4.99
PRECTOTCORR_SUM,2017,132.87,42.27,97.04,155.81,570.93,326.31,287.8,256.78,383.59,557.39,161.87,154.91,3127.57,8.12,7.43,8.09,6.69,7.45,8.59,4.42,6.95,6.34,6.86,7.19,8.99
PRECTOTCORR_SUM,2018,367.34,93.77,102.08,146.43,318.14,355.88,511.39,284.92,263.43,407.34,156.19,64.95,3071.86,8.62,6.44,3.17,6.57,3.61,7.63,4.58,7.56,3.28,4.51,7.14,3.04
PRECTOTCORR_SUM,2019,22.65,42.64,146.12,142.39,418.58,255.94,194.16,257.22,294.02,387.89,298.22,196.57,2656.4,8.09,4.19,5.04,7.51,8.63,4.31,3.3,6.19,5.63,5.22,4.38,8.45
PRECTOTCORR_SUM,2020,137.07,73.95,25.28,197.06,240.58,409.23,216.41,242.73,266.41,419.9,485.29,334.01,3047.92,5.51,7.04,5.76,6.48,3.58,8.21,4.57,8.05,8.75,8.22,5.39,4.62
PRECTOTCORR_SUM,2021,101.45,42.93,161.12,292.17,319.96,295.87,306.55,384.7,238.49,235.75,122.78,129.66,2631.43,4.23,7.94,7.59,7.66,3.95,5.72,7.23,8.33,3.18,6.73,7.37,5.68
PRECTOTCORR_SUM,2022,43.42,46.31,222.83,247.76,266.35,478.87,230.37,190.57,325.22,282.13,341.96,104.96,2780.75,8.79,5.89,4.15,8.17,3.88,3.8,3.33,4.49,3.4,8.86,6.62,7.47
PRECTOTCORR_SUM,2023,80.76,87.3,151.59,102.28,231.09,291.24,293.25,232.04,177.24,381.46,294.26,150.04,2472.55,6.71,4.41,3.36,4.71,6.52,5.2,7.49,6.03,4.85,3.01,4.86,5.8
PRECTOTCORR_SUM,2024,33.88,117.35,64.52,171.48,785.07,768.48,539.28,201.52,393.4,384.18,779.73,244.65,4483.54,6.82,6.48,8.25,3.5,3.42,3.85,7.36,6.33,8.11,8.61,6.59,6.47
PRECTOTCORR_SUM,2025,122.3,57.69,78.32,342.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.62,8.8,7.45,5.45,6.18,4.52,3.94,7.53,6.89,6.95,8.72,7.91
QV2M,1981,13.12,13.8,13.85,14.65,15.17,15.33,14.38,14.52,14.58,14.54,14.69,14.28,14.41,6.16,7.88,8.55,4.06,7.6,4.4,8.91,6.84,5.51,5.8,8.69,3.26
QV2M,1982,13.3,13.24,12.7,13.25,14.5,15.08,14.57,14.62,14.73,14.43,14.34,14.23,14.09,3.13,3.66,6.28,8.82,3.75,8.76,5.02,8.26,6.5,3.91,4.56,8.06
QV2M,1983,14.27,13.68,13.68,13.24,15.11,15.01,14.92,14.45,14.07,14.31,14.96,14.2,14.33,3.52,4.31,3.8,8.05,3.87,8.65,4.41,3.71,4.9,8.21,3.02,3.33
QV2M,1984,13.1,13.39,12.85,12.69,14.13,14.34,14.15,14.52,14.55,14.7,13.7,13.65,13.82,7.53,6.19,6.99,5.74,3.81,5.79,6.65,6.16,8.08,4.42,8.43,7.56
QV2M,1985,12.46,12.52,12.2,12.41,13.5,14.27,13.84,13.91,13.88,13.83,13.98,13.59,13.37,7.52,4.86,8.68,4.66,4.88,3.19,6.3,8.74,7.55,8.32,4.09,6.39
QV2M,1986,12.76,12.05,12.18,13.38,14.31,14.5,14.17,14.09,14.54,14.32,14.44,13.97,13.73,4.0,3.64,4.9,7.92,6.25,7.07,4.01,7.28,6.74,7.46,3.33,8.98
QV2M,1987,13.29,13.82,13.46,14.4,14.74,14.4,14.78,14.38,14.52,15.08,14.64,14.33,14.32,4.94,5.76,7.4,5.87,3.83,6.97,8.49,5.58,7.38,4.19,6.03,4.41
QV2M,1988,13.32,13.38,12.82,12.96,14.43,14.09,14.11,14.64,14.77,14.3,14.29,13.65,13.9,4.07,3.59,4.68,8.1,7.24,4.75,4.07,5.74,6.1,8.91,6.09,5.29
QV2M,1989,13.05,11.95,11.53,12.86,14.0,14.4,14.2,14.05,14.62,14.39,14.95,13.46,13.63,3.18,4.96,5.37,8.52,3.08,7.67,5.01,7.21,7.93,5.47,3.19,7.31
QV2M,1990,13.55,12.33,12.65,12.92,14.64,14.85,14.26,14.63,14.33,14.89,15.06,13.97,14.02,6.41,5.44,5.78,5.85,4.7,3.74,6.02,6.68,3.89,3.64,3.95,5.65
QV2M,1991,13.15,12.72,12.62,13.02,15.19,14.97,14.61,14.28,14.33,14.27,14.13,13.53,13.91,5.33,5.81,5.58,4.47,6.97,8.94,6.4,7.62,8.69,8.84,6.99,5.04
QV2M,1992,12.82,12.64,12.23,13.39,14.5,15.14,14.65,14.6,14.66,14.67,14.3,13.6,13.94,3.22,8.73,7.91,3.55,8.66,8.05,7.23,4.81,6.96,6.36,7.35,7.51
QV2M,1993,12.99,11.99,12.57,13.49,15.4,15.68,14.79,14.98,14.7,14.93,14.22,13.55,14.12,7.1,8.88,8.03,3.2,4.6,6.02,7.99,6.75,4.99,3.11,4.0,3.38
QV2M,1994,12.26,12.32,11.76,12.93,14.45,14.53,14.7,14.52,14.77,14.65,14.75,13.48,13.77,3.57,6.14,7.23,6.26,3.35,5.87,6.86,5.24,3.53,6.48,5.85,8.24
QV2M,1995,12.59,12.3,12.64,14.21,14.85,15.65,14.74,15.52,15.31,15.54,14.69,13.61,14.31,6.37,6.77,3.27,4.44,3.41,7.49,6.08,6.56,7.59,6.46,5.1,4.85
QV2M,1996,13.03,12.84,12.46,12.93,14.8,15.24,14.66,13.93,14.75,14.99,14.55,13.52,13.98,3.83,6.31,7.33,6.38,7.99,3.02,6.28,4.87,3.89,8.11,4.79,6.03
QV2M,1997,12.35,13.41,12.02,12.82,14.69,15.53,15.62,15.25,15.46,15.82,15.56,13.96,14.38,5.24,4.0,7.8,6.81,8.96,8.98,6.13,7.59,6.54,7.17,3.38,7.68
QV2M,1998,13.48,14.02,13.28,13.77,14.98,15.86,15.44,15.55,15.69,16.08,15.09,14.82,14.84,4.34,8.15,8.31,7.6,5.05,4.82,7.1,5.19,4.82,4.68,6.16,7.52
QV2M,1999,13.54,13.2,12.98,13.7,14.88,14.99,14.79,14.87,15.18,15.09,14.49,14.07,14.32,6.3,3.23,6.29,6.26,5.88,7.86,5.4,8.18,8.08,7.78,6.82,8.73
QV2M,2000,13.09,12.93,12.9,13.6,14.92,15.13,14.65,14.92,15.11,14.69,14.55,13.89,14.2,5.21,8.84,6.48,3.62,4.0,3.92,3.84,7.58,7.3,6.38,4.85,6.74
QV2M,2001,12.98,12.7,12.61,13.6,14.53,15.3,14.68,15.68,14.98,15.6,14.93,14.77,14.37,3.83,3.38,5.88,3.07,7.18,4.35,7.89,4.26,6.65,5.08,6.85,4.75
QV2M,2002,13.73,13.11,13.1,13.12,15.64,15.86,15.63,15.28,15.46,15.44,14.93,14.04,14.62,6.9,6.18,5.02,7.52,8.67,6.02,7.26,7.18,7.84,7.54,8.89,7.92
QV2M,2003,13.7,13.52,13.32,13.72,15.75,15.6,15.19,15.17,15.15,15.63,15.31,14.54,14.72,8.99,6.57,4.19,6.9,6.04,6.32,5.78,7.96,7.28,6.33,7.49,7.76
QV2M,2004,13.51,13.41,13.69,14.05,15.53,15.41,14.84,15.34,15.16,15.25,14.88,14.26,14.61,6.94,7.26,5.05,5.59,6.65,4.54,7.85,7.17,5.37,7.83,4.03,3.02
QV2M,2005,13.87,12.98,14.17,14.53,15.79,16.5,15.75,15.46,15.63,15.78,14.89,13.57,14.92,3.39,8.13,8.0,6.52,3.35,7.79,7.86,7.51,6.86,3.93,3.82,5.25
QV2M,2006,14.01,13.11,13.43,13.71,15.13,15.59,15.71,15.31,15.0,15.44,14.9,14.75,14.69,3.11,6.32,3.17,7.0,7.05,6.45,3.87,6.18,4.99,3.89,3.67,7.58
QV2M,2007,13.95,12.89,13.2,14.24,15.61,15.57,14.99,15.21,15.23,15.39,15.25,14.09,14.64,3.53,5.09,6.81,6.47,7.52,4.88,3.29,3.29,7.12,6.43,4.47,6.08
QV2M,2008,13.2,13.04,12.85,13.73,14.67,15.52,15.02,15.2,15.24,15.49,15.02,14.08,14.42,4.1,3.94,5.21,7.66,4.74,7.78,3.22,5.37,4.82,3.1,3.14,4.56
QV2M,2009,13.58,13.23,13.05,13.46,14.95,15.72,15.53,15.31,15.22,15.72,15.18,14.54,14.63,8.27,5.19,3.98,6.09,7.55,4.98,6.95,7.32,8.62,6.07,3.33,6.83
